Batch Data Path,D:\MassHunter\Data\ZD\202604\20260421_TigE-v1\QuantResults\20260424.batch.bin
Analysis Time,4/24/2026 3:25:12 PM,Analyst Name,DESKTOP-R8EO5UO\Agilent,Report Generator Name,DESKTOP-R8EO5UO\Agilent
Calibration Last Update,4/24/2026 3:25:12 PM,Analyze Quant Version,10.2,Report Quant Version,10.2
Sequence Table
Data File,Name,Type,Vial,Vol.,Level,Acq. Method File
01.d,01 water,Blank,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

02.d,02 water,Blank,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

03.d,03 std 10 1,Cal,,3,1,C18_MRM_5dA Met 5MTA_Trp ISTD.m

04.d,04 std 25 1,Cal,,3,2,C18_MRM_5dA Met 5MTA_Trp ISTD.m

05.d,05 std 75 1,Cal,,3,3,C18_MRM_5dA Met 5MTA_Trp ISTD.m

06.d,06 std 150 1,Cal,,3,4,C18_MRM_5dA Met 5MTA_Trp ISTD.m

07.d,07 water,Blank,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

08.d,08 noenz 0,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

09.d,09 noenz 1,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

10.d,10 noenz 5,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

11.d,11 noenz 10,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

12.d,12 noenz 30,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

13.d,13 noenz 60,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

14.d,14 water,Blank,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

15.d,15 nosub 0,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

16.d,16 nosub 1,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

17.d,17 nosub 5,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

18.d,18 nosub 10,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

19.d,19 nosub 30,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

20.d,20 nosub 60,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

21.d,21 water,Blank,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

22.d,22 nosam 0,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

23.d,23 nosam 1,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

24.d,24 nosam 5,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

25.d,25 nosam 10,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

26.d,26 nosam 30,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

27.d,27 nosam 60,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

28.d,28 water,Blank,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

29.d,29 all 0,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

30.d,30 all 1,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

Methionine
Data File,Type,ISTD,RT,Resp.,ISTD Resp,RR,Final Conc.,Exp. Conc.,Accuracy
01.d,Blank,Trp,0.795,21.028,3644.890,0.0058,0.0000,,
02.d,Blank,Trp,0.759,90.040,2775.203,0.0324,0.0000,,
03.d,Cal,Trp,0.795,642889.220,1974760.087,0.3256,10.5021,10.0000,105.0
04.d,Cal,Trp,0.795,1048305.285,2326745.368,0.4505,24.3400,25.0000,97.4
05.d,Cal,Trp,0.795,2058272.653,2027406.198,1.0152,75.1894,75.0000,100.3
06.d,Cal,Trp,0.795,3455195.923,1609537.135,2.1467,149.9745,150.0000,100.0
07.d,Blank,Trp,0.783,187.026,3428.221,0.0546,0.0000,,
08.d,Sample,Trp,0.795,3264.542,2408093.263,0.0014,0.0000,,
09.d,Sample,Trp,0.795,6403.694,2318738.423,0.0028,0.0000,,
10.d,Sample,Trp,0.795,3553.325,2287489.880,0.0016,0.0000,,
11.d,Sample,Trp,0.795,2887.345,2500880.378,0.0012,0.0000,,
12.d,Sample,Trp,0.795,2982.132,2512128.800,0.0012,0.0000,,
13.d,Sample,Trp,0.795,2605.837,2470632.809,0.0011,0.0000,,
14.d,Blank,Trp,0.795,342.387,3436.323,0.0996,0.0000,,
15.d,Sample,Trp,0.807,15651.017,2899851.862,0.0054,0.0000,,
16.d,Sample,Trp,0.807,45872.492,3188840.296,0.0144,0.0000,,
17.d,Sample,Trp,0.807,63191.268,2967670.578,0.0213,0.0000,,
18.d,Sample,Trp,0.807,68185.504,2739427.952,0.0249,0.0000,,
19.d,Sample,Trp,0.807,87705.614,2810963.892,0.0312,0.0000,,
20.d,Sample,Trp,0.807,101253.118,2893353.158,0.0350,0.0000,,
21.d,Blank,Trp,0.783,158.442,3132.166,0.0506,0.0000,,
22.d,Sample,Trp,0.807,644.168,2914396.722,0.0002,0.0000,,
23.d,Sample,Trp,0.807,391.931,2922043.474,0.0001,0.0000,,
24.d,Sample,Trp,0.807,2463.731,3174776.225,0.0008,0.0000,,
25.d,Sample,Trp,0.807,246.484,3004739.741,0.0001,0.0000,,
26.d,Sample,Trp,0.819,2428.745,2916065.226,0.0008,0.0000,,
27.d,Sample,Trp,0.819,228.106,3030849.107,0.0001,0.0000,,
28.d,Blank,Trp,0.795,185.752,2987.176,0.0622,0.0000,,
29.d,Sample,Trp,0.819,10492.617,3120536.655,0.0034,0.0000,,
30.d,Sample,Trp,0.807,15502.910,2566638.265,0.0060,0.0000,,
5dA
Data File,Type,ISTD,RT,Resp.,ISTD Resp,RR,Final Conc.,Exp. Conc.,Accuracy
01.d,Blank,Trp,1.002,2787.480,3644.890,0.7648,0.0000,,
02.d,Blank,Trp,0.978,2716.952,2775.203,0.9790,0.0000,,
03.d,Cal,Trp,1.169,3985302.905,1974760.087,2.0181,9.8889,10.0000,98.9
04.d,Cal,Trp,1.169,6761779.676,2326745.368,2.9061,25.7210,25.0000,102.9
05.d,Cal,Trp,1.181,15114867.449,2027406.198,7.4553,73.6943,75.0000,98.3
06.d,Cal,Trp,1.181,33107884.221,1609537.135,20.5698,150.5577,150.0000,100.4
07.d,Blank,Trp,1.253,3263.336,3428.221,0.9519,0.0000,,
08.d,Sample,Trp,1.169,834.894,2408093.263,0.0003,ND,,
09.d,Sample,Trp,1.157,382.039,2318738.423,0.0002,ND,,
10.d,Sample,Trp,1.193,134.208,2287489.880,0.0001,ND,,
11.d,Sample,Trp,1.253,488.838,2500880.378,0.0002,ND,,
12.d,Sample,Trp,0.894,1884.202,2512128.800,0.0008,ND,,
13.d,Sample,Trp,1.229,328.195,2470632.809,0.0001,ND,,
14.d,Blank,Trp,1.229,464.702,3436.323,0.1352,0.0000,,
15.d,Sample,Trp,1.169,74954.707,2899851.862,0.0258,ND,,
16.d,Sample,Trp,1.157,348190.221,3188840.296,0.1092,ND,,
17.d,Sample,Trp,1.122,419451.374,2967670.578,0.1413,ND,,
18.d,Sample,Trp,1.110,471753.040,2739427.952,0.1722,ND,,
19.d,Sample,Trp,1.122,649811.587,2810963.892,0.2312,ND,,
20.d,Sample,Trp,1.122,770242.029,2893353.158,0.2662,ND,,
21.d,Blank,Trp,1.146,1296.453,3132.166,0.4139,0.0000,,
22.d,Sample,Trp,0.930,5718.907,2914396.722,0.0020,ND,,
23.d,Sample,Trp,1.122,269.325,2922043.474,0.0001,ND,,
24.d,Sample,Trp,1.110,172.685,3174776.225,0.0001,ND,,
25.d,Sample,Trp,1.098,180.281,3004739.741,0.0001,ND,,
26.d,Sample,Trp,1.098,121.054,2916065.226,0.0000,ND,,
27.d,Sample,Trp,1.110,132.789,3030849.107,0.0000,ND,,
28.d,Blank,Trp,1.122,1114.321,2987.176,0.3730,0.0000,,
29.d,Sample,Trp,1.098,13035.536,3120536.655,0.0042,ND,,
30.d,Sample,Trp,1.110,151662.289,2566638.265,0.0591,ND,,
5 MTA
Data File,Type,ISTD,RT,Resp.,ISTD Resp,RR,Final Conc.,Exp. Conc.,Accuracy
01.d,Blank,Trp,2.890,1294.414,3644.890,0.3551,0.0000,,
02.d,Blank,Trp,2.855,947.445,2775.203,0.3414,0.0000,,
