Batch Data Path,D:\MassHunter\Data\ZD\202604\20260422_TigE-v2\QuantResults\2026 04 24.batch.bin
Analysis Time,4/24/2026 2:51:31 PM,Analyst Name,DESKTOP-R8EO5UO\Agilent,Report Generator Name,DESKTOP-R8EO5UO\Agilent
Calibration Last Update,4/24/2026 2:51:31 PM,Analyze Quant Version,10.2,Report Quant Version,10.2
Sequence Table
Data File,Name,Type,Vial,Vol.,Level,Acq. Method File
01.d,01 water,Blank,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

02.d,02 water,Blank,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

03.d,03 std 10 1,Cal,,3,1,C18_MRM_5dA Met 5MTA_Trp ISTD.m

04.d,04 std 25 1,Cal,,3,2,C18_MRM_5dA Met 5MTA_Trp ISTD.m

05.d,05 std 75 1,Cal,,3,3,C18_MRM_5dA Met 5MTA_Trp ISTD.m

06.d,06 std 150 1,Cal,,3,4,C18_MRM_5dA Met 5MTA_Trp ISTD.m

07.d,07 water,Blank,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

08.d,08 all 0,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

09.d,09 all 1,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

10.d,10 all 5,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

11.d,11 all 10,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

12.d,12 all 30,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

13.d,13 all 60,Sample,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

14.d,14 water,Blank,,3,,C18_MRM_5dA Met 5MTA_Trp ISTD.m

Methionine
Data File,Type,ISTD,RT,Resp.,ISTD Resp,RR,Final Conc.,Exp. Conc.,Accuracy
01.d,Blank,Trp,0.795,44.501,3837.915,0.0116,0.0000,,
02.d,Blank,Trp,0.795,26.875,758.170,0.0354,0.0000,,
03.d,Cal,Trp,0.795,549928.459,2851487.753,0.1929,11.3900,10.8000,105.5
04.d,Cal,Trp,0.795,776306.874,3255501.365,0.2385,21.4141,25.0000,85.7
05.d,Cal,Trp,0.795,1871660.733,2700113.710,0.6932,81.1444,75.0000,108.2
06.d,Cal,Trp,0.795,3264322.229,2091139.219,1.5610,147.2039,150.0000,98.1
07.d,Blank,Trp,0.819,67.665,1129.169,0.0599,0.0000,,
08.d,Sample,Trp,0.807,18286.231,3395336.682,0.0054,ND,,
09.d,Sample,Trp,0.819,30530.239,2728588.058,0.0112,ND,,
10.d,Sample,Trp,0.807,83845.938,2782328.482,0.0301,ND,,
11.d,Sample,Trp,0.807,106367.494,2716823.873,0.0392,ND,,
12.d,Sample,Trp,0.807,130154.082,2842074.627,0.0458,ND,,
13.d,Sample,Trp,0.807,148700.079,2746617.802,0.0541,ND,,
14.d,Blank,Trp,0.759,386.133,2455.840,0.1572,1.7207,,
5dA
Data File,Type,ISTD,RT,Resp.,ISTD Resp,RR,Final Conc.,Exp. Conc.,Accuracy
01.d,Blank,Trp,1.409,199.171,3837.915,0.0519,0.0000,,
02.d,Blank,Trp,1.014,236.615,758.170,0.3121,0.0000,,
03.d,Cal,Trp,1.241,2332199.892,2851487.753,0.8179,9.2884,10.0000,92.9
04.d,Cal,Trp,1.229,5140820.635,3255501.365,1.5791,27.0404,25.0000,108.2
05.d,Cal,Trp,1.217,12145984.106,2700113.710,4.4983,73.5516,75.0000,98.1
06.d,Cal,Trp,1.217,25609048.414,2091139.219,12.2465,150.3352,150.0000,100.2
07.d,Blank,Trp,1.253,532.634,1129.169,0.4717,0.0000,,
08.d,Sample,Trp,1.265,24043.733,3395336.682,0.0071,0.0000,,
09.d,Sample,Trp,1.253,260449.821,2728588.058,0.0955,0.0000,,
10.d,Sample,Trp,1.241,714767.146,2782328.482,0.2569,0.0000,,
11.d,Sample,Trp,1.241,977210.602,2716823.873,0.3597,0.0000,,
12.d,Sample,Trp,1.229,1300246.291,2842074.627,0.4575,0.0000,,
13.d,Sample,Trp,1.229,1373083.518,2746617.802,0.4999,0.0829,,
14.d,Blank,Trp,1.217,2208.079,2455.840,0.8991,11.4231,,
5 MTA
Data File,Type,ISTD,RT,Resp.,ISTD Resp,RR,Final Conc.,Exp. Conc.,Accuracy
01.d,Blank,Trp,3.273,12038.927,3837.915,3.1368,1.6487,,
02.d,Blank,Trp,3.333,1656.391,758.170,2.1847,0.0000,,
03.d,Cal,Trp,2.831,11453897.072,2851487.753,4.0168,10.3151,10.0000,103.2
04.d,Cal,Trp,2.819,17472250.921,3255501.365,5.3670,22.4425,25.0000,89.8
05.d,Cal,Trp,2.819,37441005.148,2700113.710,13.8665,81.1773,75.0000,108.2
06.d,Cal,Trp,2.819,56843359.925,2091139.219,27.1830,146.7000,150.0000,97.8
07.d,Blank,Trp,2.890,4783.275,1129.169,4.2361,12.3724,,
08.d,Sample,Trp,2.831,4270719.808,3395336.682,1.2578,0.0000,,
09.d,Sample,Trp,2.831,4370620.930,2728588.058,1.6018,0.0000,,
10.d,Sample,Trp,2.831,4122658.566,2782328.482,1.4817,0.0000,,
11.d,Sample,Trp,2.831,3914613.344,2716823.873,1.4409,0.0000,,
12.d,Sample,Trp,2.831,3921436.055,2842074.627,1.3798,0.0000,,
13.d,Sample,Trp,2.831,3716189.396,2746617.802,1.3530,0.0000,,
14.d,Blank,Trp,2.831,6968.423,2455.840,2.8375,0.0000,,
