Batch Data Path,D:\MassHunter\Data\ZD\202605\20260520_TigE_activity\QuantResults\20260520_TigE_activity.batch.bin
Analysis Time,5/21/2026 11:30:51 AM,Analyst Name,DESKTOP-C443AI4\Agilent,Report Generator Name,DESKTOP-C443AI4\Agilent
Calibration Last Update,5/21/2026 11:29:27 AM,Analyze Quant Version,10.1,Report Quant Version,10.2
Sequence Table
Data File,Name,Type,Vial,Vol.,Level,Acq. Method File
01.d,1 blank,Blank,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

02.d,2 blank,Blank,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

03.d,3 std 0,Cal,,3,1,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

04.d,4 std 0.5,Cal,,3,2,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

05.d,5 std 1,Cal,,3,3,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

06.d,6 std 2,Cal,,3,4,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

07.d,7 std 3.33,Cal,,3,5,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

08.d,8 std 5,Cal,,3,6,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

09.d,9 std 10,Cal,,3,7,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

10.d,10 std 20,Cal,,3,8,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

11.d,11 blank,Blank,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

12.d,12 all 0,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

13.d,13 all 1,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

14.d,14 all 5,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

15.d,15 all 10,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

16.d,16 all 30,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

17.d,17 all 60,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

18.d,18 blank,Blank,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

19.d,19 noti 0,Sample,,3,,ExtendC18_MRM_5dA Met 5MTA_Trp ISTD.m

