Baseline 100%T,,100x,,200x,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.000061,-0.0006224736571,800.000061,0.09378679842,800.000061,0.02379449643,
798.994751,-0.0004523546086,798.994751,0.09311595559,798.994751,0.02397032641,
797.9890747,-0.0006654323661,797.9890747,0.09369768947,797.9890747,0.02404933423,
796.9829102,-0.0006423768355,796.9829102,0.0926586017,796.9829102,0.02468566969,
796.0111084,-0.0002619387524,796.0111084,0.09406746924,796.0111084,0.02457326278,
795.0042114,-0.0005170490476,795.0042114,0.09531906247,795.0042114,0.02507338859,
793.9968872,-0.0002915851946,793.9968872,0.09461247176,793.9968872,0.0250683967,
792.9891357,-4.131203968E-005,792.9891357,0.09554366767,792.9891357,0.025131559,
792.0157471,-0.0005063448916,792.0157471,0.09624473006,792.0157471,0.0253611654,
791.0072632,0.0002832330647,791.0072632,0.09515812248,791.0072632,0.02502109297,
789.9984131,-0.0002379821526,789.9984131,0.09651464969,789.9984131,0.02549680881,
788.9890137,-0.000112020025,788.9890137,0.0966380015,788.9890137,0.02638642304,
788.0140991,8.812477608E-005,788.0140991,0.09738420695,788.0140991,0.02553194761,
787.0040894,-0.0001119165026,787.0040894,0.09812637419,787.0040894,0.02668000013,
785.9935303,0.0001528058638,785.9935303,0.09783155471,785.9935303,0.02634865791,
784.982666,-9.043615864E-005,784.982666,0.09828270972,784.982666,0.02659679763,
784.0062256,0.0001378646557,784.0062256,0.09868387133,784.0062256,0.0267274864,
782.9945068,0.0003511815739,782.9945068,0.09857302904,782.9945068,0.02672448568,
782.017395,0.0001600047544,782.017395,0.09929709136,782.017395,0.02688272297,
781.0048828,0.0006363807479,781.0048828,0.09849981964,781.0048828,0.02675402351,
779.9920654,0.0003601972712,779.9920654,0.09992157668,779.9920654,0.0266450718,
779.0137939,0.000332762138,779.0137939,0.09980742633,779.0137939,0.02765598707,
778.0001221,0.000499394373,778.0001221,0.1003886387,778.0001221,0.0271575097,
776.986145,0.0004455966118,776.986145,0.1004860178,776.986145,0.02757858299,
776.0066528,0.0004501054063,776.0066528,0.1011396945,776.0066528,0.02752375044,
774.9918823,0.0004579570668,774.9918823,0.1014539972,774.9918823,0.02756230906,
774.0117798,0.0002621486492,774.0117798,0.1019565314,774.0117798,0.02799067646,
772.9961548,0.0003233584284,772.9961548,0.1017643511,772.9961548,0.02798943408,
772.0151978,0.0006408914924,772.0151978,0.100895226,772.0151978,0.02749231085,
770.9989014,0.0004561431415,770.9989014,0.1017465144,770.9989014,0.02818373591,
770.0172729,-5.078530012E-005,770.0172729,0.1030483246,770.0172729,0.02870584838,
769.0001221,0.0002193354157,769.0001221,0.1027127281,769.0001221,0.02802977338,
767.982666,0.0004975025076,767.982666,0.1029290482,767.982666,0.02838939987,
766.9998779,-0.0002254600258,766.9998779,0.1035765558,766.9998779,0.02895210125,
766.0167847,-0.0004832808918,766.0167847,0.1038753688,766.0167847,0.0292378366,
764.9981079,-0.000940195343,764.9981079,0.1046710238,764.9981079,0.02907159925,
