Baseline 100%Tv1,,Baseline 100%Tv2,,100,,200,,100_v2,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9925537,-0.003178475425,799.9925537,-0.002364190295,799.9925537,2.50890398,799.9925537,0.009571671486,799.9925537,0.03689084947,
794.996521,-0.002671224764,798.9872437,-0.002425460145,798.9872437,2.563169241,798.9872437,0.00941279158,798.9872437,0.0371048823,
789.9904175,-0.001784789143,798.0161133,-0.00196093251,798.0161133,2.51309514,798.0161133,0.009045829996,798.0161133,0.03664075956,
785.0093384,-0.0008297322784,797.0098877,-0.002282054629,797.0098877,2.468518734,797.0098877,0.009414590895,797.0098877,0.0374173373,
779.9836426,-0.002541746013,796.003418,-0.002058123704,796.003418,2.441852093,796.003418,0.009327408858,796.003418,0.0374029167,
774.9832764,-0.0008360363427,794.996521,-0.001851038192,794.996521,2.524379969,794.996521,0.009340104647,794.996521,0.03752857447,
770.0084839,-0.001454682206,793.9890747,-0.001943821437,793.9890747,2.516178131,793.9890747,0.009785014205,793.9890747,0.03792643547,
764.9891968,-0.001906143501,793.0160522,-0.001903102268,793.0160522,2.524126291,793.0160522,0.009977642447,793.0160522,0.03812461719,
759.9956055,-0.001738743973,792.0079346,-0.001766124158,792.0079346,2.502815723,792.0079346,0.009995786473,792.0079346,0.03820304573,
754.9928589,-0.00369052426,790.9993896,-0.001550490619,790.9993896,2.46837759,790.9993896,0.009731377475,790.9993896,0.03818738833,
750.0162354,-0.005834724754,789.9904175,-0.002059257356,789.9904175,2.490398407,789.9904175,0.009836433455,789.9904175,0.03914459795,
744.9952393,-0.007387618069,789.0158081,-0.001575458213,789.0158081,2.555014372,789.0158081,0.01006988157,789.0158081,0.03898913413,
740.0006714,-0.009739021771,788.0061035,-0.001971858554,788.0061035,2.452851057,788.0061035,0.01043505874,788.0061035,0.03963337839,
734.9972534,-0.01309780404,786.9960327,-0.001072063227,786.9960327,2.530756235,786.9960327,0.009684523568,786.9960327,0.03930232301,
729.9849854,-0.01629200391,785.9854126,-0.001204407425,785.9854126,2.533495665,785.9854126,0.01041350234,785.9854126,0.03928129748,
