Baseline 100%T,,CM52_frac_110-175_10x,,CM52_frac_110-175_10x1_repeat,,CM52_frac_176-240_10x,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9925537,-0.01565649919,799.9925537,3.28753049E-006,799.9925537,0.002504504751,799.9925537,-0.001296296599,
798.9872437,-0.0156903062,798.9872437,-1.67737835E-005,798.9872437,0.002156703267,798.9872437,-0.001096335356,
798.0161133,-0.01525705494,798.0161133,-0.0002157318377,798.0161133,0.002209386323,798.0161133,-0.001562407124,
797.0098877,-0.01498275157,797.0098877,-0.0003291447647,797.0098877,0.00223467662,797.0098877,-0.001624615397,
796.003418,-0.01537885051,796.003418,0.0002387860295,796.003418,0.001962987939,796.003418,-0.001594389323,
794.996521,-0.01535056625,794.996521,6.712750474E-005,794.996521,0.002579546068,794.996521,-0.001061785966,
793.9890747,-0.01485869382,793.9890747,-0.0004918136983,793.9890747,0.002313314704,793.9890747,-0.001447355142,
793.0160522,-0.01506147068,793.0160522,-0.0001520793157,793.0160522,0.0024059969,793.0160522,-0.001243746607,
792.0079346,-0.01462168433,792.0079346,-1.651493403E-005,792.0079346,0.002453738125,792.0079346,-0.001792162075,
790.9993896,-0.01483042538,790.9993896,-0.0001207153764,790.9993896,0.002794612898,790.9993896,-0.001459429273,
789.9904175,-0.01471853536,789.9904175,-0.0003868229105,789.9904175,0.002543143462,789.9904175,-0.00110113807,
789.0158081,-0.0149683468,789.0158081,0.0002578230924,789.0158081,0.003401056863,789.0158081,-0.001013494679,
788.0061035,-0.01452365983,788.0061035,-0.0006570063997,788.0061035,0.003247495275,788.0061035,-0.001546260435,
786.9960327,-0.01445525978,786.9960327,6.600972029E-006,786.9960327,0.003439670894,786.9960327,-0.001223664498,
785.9854126,-0.01429067459,785.9854126,-0.0002856870997,785.9854126,0.003241914092,785.9854126,-0.001109503792,
785.0093384,-0.01429363061,785.0093384,-0.0002869805612,785.0093384,0.003519884543,785.0093384,-0.001015560701,
783.9980469,-0.01422013436,783.9980469,-0.0004798160226,783.9980469,0.00291272765,783.9980469,-0.001231511589,
782.9863892,-0.0142114656,782.9863892,-6.626757113E-006,782.9863892,0.003303597448,782.9863892,-0.001546569983,
782.0091553,-0.01420460176,782.0091553,-0.0003484406334,782.0091553,0.003170773853,782.0091553,-0.001173274242,
780.996582,-0.01402698923,780.996582,-1.656670429E-005,780.996582,0.002812016755,780.996582,-0.001183910412,
779.9836426,-0.01383601595,779.9836426,-0.0003246440028,779.9836426,0.002540357411,779.9836426,-0.001771383453,
779.0054321,-0.01373074111,779.0054321,-0.0001415731676,779.0054321,0.002677546348,779.0054321,-0.001395029831,
777.9917603,-0.01404894423,777.9917603,-0.0001755749108,777.9917603,0.00311708753,777.9917603,-0.0009752194164,
777.0126343,-0.01416155789,777.0126343,-0.0001783694606,777.0126343,0.002637306927,777.0126343,-0.001528771711,
775.99823,-0.01412983704,775.99823,0.0001639149996,775.99823,0.00304867886,775.99823,-0.001238480909,
774.9832764,-0.0139168473,774.9832764,-0.0002886361617,774.9832764,0.00271781534,774.9832764,-0.001814641058,
774.0031128,-0.0137484977,774.0031128,-0.0006038620486,774.0031128,0.002242352348,774.0031128,-0.001587167731,
772.9874878,-0.01408884116,772.9874878,0.0002787518897,772.9874878,0.002758478979,772.9874878,-0.001570660854,
772.0065918,-0.01462969277,772.0065918,0.0003427877964,772.0065918,0.003373585409,772.0065918,-0.0009806948947,
770.9902344,-0.01387593243,770.9902344,-0.0003778225218,770.9902344,0.002893443685,770.9902344,-0.00138790824,
770.0084839,-0.01435419265,770.0084839,-7.050765271E-005,770.0084839,0.003224284388,770.0084839,-0.001256239368,
768.991333,-0.01452626288,768.991333,0.0005434792838,768.991333,0.003130801721,768.991333,-0.001322672353,
768.0089111,-0.01458488964,768.0089111,0.0001531683956,768.0089111,0.002927530091,768.0089111,-0.001518763136,
766.9910278,-0.01444173884,766.9910278,-0.0003539757454,766.9910278,0.002600040054,766.9910278,-0.00173936272,
766.0078125,-0.01456556562,766.0078125,-0.0002003629343,766.0078125,0.002775151748,766.0078125,-0.001611101674,
764.9891968,-0.01470937673,764.9891968,-0.0003250578593,764.9891968,0.002791356295,764.9891968,-0.001847687294,
