Baseline 100%T,,SAM synthesis rotovap 200x,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9925537,-0.01531713177,799.9925537,-0.001434506616,
798.9872437,-0.01455770526,798.9872437,-0.0009158628527,
798.0161133,-0.01590452343,798.0161133,-0.0005162216839,
797.0098877,-0.01487590373,797.0098877,-0.0008641452296,
796.003418,-0.0152642522,796.003418,-0.0002820654481,
794.996521,-0.01527489908,794.996521,-0.0007865314255,
793.9890747,-0.01501591131,793.9890747,-0.000976975658,
793.0160522,-0.01469286066,793.0160522,-0.0008350029238,
792.0079346,-0.01420044247,792.0079346,-0.001404112438,
790.9993896,-0.01460811775,790.9993896,-0.0002004146954,
789.9904175,-0.01412312128,789.9904175,-0.0016566962,
789.0158081,-0.01459014602,789.0158081,-0.001995719736,
788.0061035,-0.01451915316,788.0061035,-0.0002428460139,
786.9960327,-0.01416651905,786.9960327,-0.002133037662,
785.9854126,-0.01392963249,785.9854126,-0.002265419578,
785.0093384,-0.01290692296,785.0093384,-0.001725697774,
783.9980469,-0.01392386667,783.9980469,-0.0005527277244,
782.9863892,-0.01446832903,782.9863892,-0.0001388301462,
782.0091553,-0.01414256543,782.0091553,-0.0004776440037,
780.996582,-0.01401781663,780.996582,-0.0009278484504,
779.9836426,-0.01379800122,779.9836426,-0.0005931082997,
779.0054321,-0.01340889093,779.0054321,-0.0004827120283,
777.9917603,-0.01336059812,777.9917603,-0.001136975246,
777.0126343,-0.01453847997,777.0126343,-0.0006689474685,
775.99823,-0.01343730185,775.99823,-0.001947377692,
774.9832764,-0.01359393168,774.9832764,-0.00150462694,
774.0031128,-0.01330426615,774.0031128,-0.001209931681,
772.9874878,-0.01404102426,772.9874878,-0.0001118129876,
772.0065918,-0.0142850643,772.0065918,-0.000744773366,
770.9902344,-0.01393339317,770.9902344,-0.001484660082,
770.0084839,-0.0142654255,770.0084839,-0.0003067956422,
768.991333,-0.0148945637,768.991333,-0.0001573064219,
768.0089111,-0.01357958093,768.0089111,-0.001235280186,
766.9910278,-0.01519481931,766.9910278,-0.0005669466336,
766.0078125,-0.01429999247,766.0078125,-0.001389817684,
764.9891968,-0.01527659781,764.9891968,-0.0004598019295,
764.0053101,-0.01477183215,764.0053101,-0.001095715677,
762.9858398,-0.01454994548,762.9858398,-0.001164083602,
762.0012207,-0.01499555539,762.0012207,-0.001299703261,
761.0161743,-0.01525275595,761.0161743,-8.650228847E-005,
759.9956055,-0.01552264206,759.9956055,-0.0005202550674,
